위치좌표 X축값 ,위치좌표 Y축값 ,구분,장소명
126.551075,33.4218,레져/스포츠,한라산관음사지야영장(관음사코스)
126.582222,33.42955,레져/스포츠,제주CC(회원제)
126.599933,33.437483,레져/스포츠,제주힐CC
126.548962,33.460413,문화/종교/예술,남국사
126.535276,33.461446,레져/스포츠,에이스골프클럽
126.510165,33.466495,문화/종교/예술,월정사
126.546787,33.476444,문화/종교/예술,제주교구천주교주교관
126.548737,33.476911,문화/종교/예술,아라교회
126.543525,33.477344,문화/종교/예술,사랑의교회
126.487704,33.485751,관광/숙박,맥심호텔
126.488779,33.485309,레져/스포츠,제주그랜드호텔수영장
126.489767,33.486009,관광/숙박,호산장
126.489517,33.486159,관광/숙박,해피데이여관
126.489542,33.486459,관광/숙박,아리랑호텔
126.491629,33.485359,관광/숙박,스카이모텔
126.492529,33.485376,관광/숙박,센트럴호텔
126.491379,33.486026,관광/숙박,밀라노크라운관광호텔
126.493804,33.485293,관광/숙박,펠레파크텔
126.493966,33.485334,관광/숙박,벤츠모텔
126.494366,33.486159,관광/숙박,스마일호텔
126.496004,33.487159,관광/숙박,세광호텔
126.491804,33.486501,관광/숙박,유호텔
126.490492,33.486567,관광/숙박,대일모텔
126.491116,33.488184,관광/숙박,허브모텔
126.486467,33.486801,문화/종교/예술,제주신광교회
126.486217,33.489534,관광/숙박,만년장모텔
126.486392,33.48955,관광/숙박,라벤다모텔
126.486154,33.489092,관광/숙박,해연호텔
126.487279,33.489517,관광/숙박,청심장
126.487417,33.4895,관광/숙박,귀빈장
126.487792,33.489009,관광/숙박,남문모텔
126.487392,33.489017,관광/숙박,꿈의궁전모텔
126.487779,33.489217,관광/숙박,낙원장
126.487954,33.489192,관광/숙박,우리모텔
126.488217,33.489184,관광/숙박,금호훼미리관광호텔
126.488829,33.489,관광/숙박,하얀성모텔
126.489329,33.489684,관광/숙박,발리호텔
126.490629,33.489417,관광/숙박,가이아호텔
126.492491,33.4889,관광/숙박,뉴신라모텔
126.492416,33.4894,관광/숙박,리베로호텔
126.492579,33.489375,관광/숙박,청송모텔
126.492754,33.489359,관광/숙박,동원호텔
126.493191,33.489542,관광/숙박,하남장여관
126.495416,33.48955,관광/숙박,국도장
126.495416,33.488992,관광/숙박,유니버스호텔
126.494829,33.489984,관광/숙박,에버호텔
126.495741,33.49015,관광/숙박,전원호텔
126.494004,33.490017,관광/숙박,더호텔&베가스카지노
126.490454,33.490717,문화/종교/예술,제주기독교선교회관
126.489654,33.490567,관광/숙박,향림장
126.489379,33.490634,관광/숙박,명월장여관
126.488842,33.49065,관광/숙박,제이제이호텔
126.488792,33.490367,관광/숙박,호텔제이엠
126.488017,33.490492,관광/숙박,대호장
126.489579,33.4911,관광/숙박,호텔하루
126.491016,33.492275,관광/숙박,재도장모텔
126.491429,33.491767,공원/산/동.식물원,삼무공원
126.492579,33.492717,문화/종교/예술,천주교신제주교회
126.492429,33.493125,관광/숙박,소피아모텔
126.495741,33.491992,레져/스포츠,일우볼링센터
126.496466,33.492075,관광/숙박,제주상하이호텔
126.496416,33.491325,관광/숙박,현대관광호텔
126.497228,33.4919,관광/숙박,평화모텔
126.592838,33.239146,레져/스포츠,제주대학교연수원
126.587326,33.246304,관광/숙박,라임오렌지빌펜션
126.581764,33.246487,관광/숙박,서귀포KAL호텔
126.578477,33.245745,관광/숙박,파라다이스호텔
126.51242,33.237954,문화/종교/예술,제주희망교회
126.518832,33.242495,레져/스포츠,신성리조트
126.509283,33.246361,레져/스포츠,제주서귀포월드컵경기장
126.511295,33.247427,문화/종교/예술,대륭교회
